Community/Area,Low ($/hour),Median ($/hour),High ($/hour),Note
Lanaudière Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Laurentides Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Laval Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Montréal Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Montérégie Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Outaouais Region,22.00,33.23,46.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Ontario,20.19,36.06,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Hamilton–Niagara Peninsula Region,29.67,38.46,75.96,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Kingston–Pembroke Region,17.31,38.24,51.28,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Kitchener–Waterloo–Barrie Region,23.56,36.92,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Muskoka–Kawarthas Region,20.19,36.06,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Ottawa Region,20.19,36.06,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Toronto Region,20.19,36.06,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Manitoba,21.63,33.65,50.00,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Winnipeg Region,17.31,33.65,50.00,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Saskatchewan,14.00,31.76,54.17,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Alberta,21.63,36.07,86.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Calgary Region,21.63,36.07,86.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Edmonton Region,21.63,36.07,86.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
British Columbia,16.75,36.72,61.43,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Lower Mainland–Southwest Region,16.75,38.40,64.31,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Thompson–Okanagan Region,16.75,32.18,51.29,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Vancouver Island and Coast Region,16.75,35.71,50.19,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
