Community/Area,Low ($/hour),Median ($/hour),High ($/hour),Note
Laval Region,41.03,50.48,67.03,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Montréal Region,41.03,52.88,71.79,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Montérégie Region,30.00,50.00,63.21,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Outaouais Region,36.41,51.28,71.79,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Saguenay–Lac-Saint-Jean Region,36.41,51.28,71.79,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Ontario,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Hamilton–Niagara Peninsula Region,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Kingston–Pembroke Region,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Kitchener–Waterloo–Barrie Region,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Muskoka–Kawarthas Region,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Ottawa Region,31.25,42.74,59.62,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Toronto Region,28.84,45.00,63.70,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Manitoba,24.93,43.58,66.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Winnipeg Region,23.85,43.92,67.03,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Saskatchewan,29.36,44.59,68.75,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Alberta,16.83,41.35,72.12,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Calgary Region,16.83,41.35,72.12,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Edmonton Region,16.83,41.35,72.12,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
British Columbia,25.85,42.00,61.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Lower Mainland–Southwest Region,35.64,42.00,57.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Thompson–Okanagan Region,25.85,42.00,61.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Vancouver Island and Coast Region,25.85,42.00,61.54,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
