Year,OrgSize,Industry,Experience,Title,Country,Salary
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",27,Security professional,Canada,137550.0
2023,"10,000 or more employees",,2,"Developer, full-stack",Canada,118962.0
2023,"10,000 or more employees",,10,"Developer, back-end",Canada,96657.0
2023,,Financial Services,,"Developer, full-stack",Canada,
2023,,,,"Developer, full-stack",Canada,
2023,"10,000 or more employees",Other,7,"Engineer, data",Canada,104092.0
2023,,,35,Marketing or sales professional,Canada,
2023,2 to 9 employees,,5,"Developer, full-stack",Canada,78069.0
2023,100 to 499 employees,Higher Education,2,"Developer, full-stack",Canada,74351.0
2023,100 to 499 employees,,10,"Developer, game or graphics",Canada,96657.0
2023,2 to 9 employees,,7,"Developer, full-stack",Canada,
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5,"Developer, desktop or enterprise applications",Canada,72864.0
2023,500 to 999 employees,,30,"Developer, full-stack",Canada,
2023,20 to 99 employees,Higher Education,24,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",4,DevOps specialist,Canada,75467.0
2023,"1,000 to 4,999 employees",,32,"Developer, back-end",Canada,96657.0
2023,,Higher Education,,Student,Canada,
2023,500 to 999 employees,,25,"Developer, full-stack",Canada,111527.0
2023,I don’t know,Other,12,DevOps specialist,Canada,84389.0
2023,"1,000 to 4,999 employees",,Less than 1 year,"Developer, back-end",Canada,59481.0
2023,100 to 499 employees,Advertising Services,6,"Developer, full-stack",Canada,148703.0
2023,"10,000 or more employees",Other,11,"Developer, back-end",Canada,178443.0
2023,100 to 499 employees,Advertising Services,5,"Developer, full-stack",Canada,85504.0
2023,10 to 19 employees,,1,"Developer, full-stack",Canada,
2023,20 to 99 employees,Wholesale,30,"Developer, full-stack",Canada,100374.0
2023,"1,000 to 4,999 employees",Other,10,"Developer, embedded applications or devices",Canada,
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",7,"Senior Executive (C-Suite, VP, etc.)",Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",1,"Developer, full-stack",Canada,47585.0
2023,"10,000 or more employees",Healthcare,10,"Developer, full-stack",Canada,89222.0
2023,"5,000 to 9,999 employees",,27,"Developer, back-end",Canada,
2023,20 to 99 employees,Healthcare,28,"Developer, full-stack",Canada,148703.0
2023,100 to 499 employees,,4,"Developer, full-stack",Canada,48328.0
2023,10 to 19 employees,Oil & Gas,12,"Developer, full-stack",Canada,92939.0
2023,,,,,Canada,
2023,500 to 999 employees,"Manufacturing, Transportation, or Supply Chain",40,Research & Development role,Canada,115245.0
2023,10 to 19 employees,Healthcare,23,"Developer, back-end",Canada,89222.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,7,"Developer, embedded applications or devices",Canada,85504.0
2023,"10,000 or more employees",,15,"Developer, back-end",Canada,
2023,,,,"Developer, full-stack",Canada,
2023,,,,"Developer, full-stack",Canada,
2023,100 to 499 employees,Financial Services,22,System administrator,Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",13,"Developer, full-stack",Canada,95170.0
2023,,"Information Services, IT, Software Development, or other Technology",,Research & Development role,Canada,
2023,20 to 99 employees,,38,"Developer, desktop or enterprise applications",Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",20,"Developer, back-end",Canada,92939.0
2023,,,,,Canada,
2023,I don’t know,,5,Academic researcher,Canada,
2023,"1,000 to 4,999 employees",,9,"Developer, back-end",Canada,237925.0
2023,20 to 99 employees,,,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,"10,000 or more employees",Financial Services,10,"Developer, desktop or enterprise applications",Canada,483284.0
2023,100 to 499 employees,Other,16,"Developer, front-end",Canada,115988.0
2023,100 to 499 employees,,5,"Developer, full-stack",Canada,83274.0
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",8,"Developer, back-end",Canada,131602.0
2023,100 to 499 employees,,19,Security professional,Canada,111527.0
2023,,Retail and Consumer Services,,Other (please specify):,Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",17,Other (please specify):,Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",2,"Developer, full-stack",Canada,60225.0
2023,10 to 19 employees,Oil & Gas,7,"Developer, full-stack",Canada,74351.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",6,"Developer, back-end",Canada,74351.0
2023,"1,000 to 4,999 employees",Financial Services,9,"Developer, back-end",Canada,155394.0
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5,"Developer, full-stack",Canada,49072.0
2023,100 to 499 employees,Healthcare,12,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,,,,Data scientist or machine learning specialist,Canada,
2023,20 to 99 employees,Financial Services,Less than 1 year,Other (please specify):,Canada,29384.0
2023,"10,000 or more employees","Manufacturing, Transportation, or Supply Chain",8,"Developer, full-stack",Canada,89222.0
2023,"1,000 to 4,999 employees",Healthcare,12,Cloud infrastructure engineer,Canada,149365.0
2023,,,,,Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",1,"Developer, full-stack",Canada,65429.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,5,"Developer, full-stack",Canada,
2023,500 to 999 employees,Financial Services,4,"Developer, full-stack",Canada,55764.0
2023,"1,000 to 4,999 employees",Healthcare,10,"Developer, front-end",Canada,81787.0
2023,10 to 19 employees,Other,8,"Developer, full-stack",Canada,118962.0
2023,,,,Student,Canada,
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5,"Developer, desktop or enterprise applications",Canada,81787.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",15,"Developer, full-stack",Canada,70634.0
2023,"1,000 to 4,999 employees",,2,"Developer, back-end",Canada,48328.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,17,"Developer, back-end",Canada,178443.0
2023,"10,000 or more employees",Higher Education,,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,10 to 19 employees,Other,3,Other (please specify):,Canada,63199.0
2023,,,,,Canada,
2023,20 to 99 employees,,25,Engineering manager,Canada,
2023,,,,"Developer, back-end",Canada,
2023,,Insurance,,"Engineer, site reliability",Canada,
2023,20 to 99 employees,,25,"Developer, desktop or enterprise applications",Canada,111527.0
2023,20 to 99 employees,,11,"Developer, front-end",Canada,121342.0
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",14,"Developer, embedded applications or devices",Canada,111527.0
2023,10 to 19 employees,Advertising Services,35,"Developer, back-end",Canada,130115.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",6,"Developer, embedded applications or devices",Canada,118962.0
2023,"1,000 to 4,999 employees",Wholesale,10,"Developer, full-stack",Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",14,"Developer, desktop or enterprise applications",Canada,154651.0
2023,20 to 99 employees,Financial Services,7,"Developer, full-stack",Canada,
2023,100 to 499 employees,Healthcare,2,"Developer, full-stack",Canada,49815.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,3,"Developer, desktop or enterprise applications",Canada,32715.0
2023,100 to 499 employees,,12,"Developer, mobile",Canada,87735.0
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5,"Developer, full-stack",Canada,78069.0
2023,100 to 499 employees,Oil & Gas,2,"Developer, full-stack",Canada,53533.0
2023,"5,000 to 9,999 employees",,20,"Developer, desktop or enterprise applications",Canada,74351.0
2023,2 to 9 employees,,3,"Developer, desktop or enterprise applications",Canada,28551.0
2023,10 to 19 employees,,9,"Developer, full-stack",Canada,
2023,500 to 999 employees,,6,"Developer, back-end",Canada,74351.0
2023,"5,000 to 9,999 employees",,6,"Developer, full-stack",Canada,60968.0
2023,"1,000 to 4,999 employees",,6,"Developer, embedded applications or devices",Canada,111527.0
2023,"1,000 to 4,999 employees",Retail and Consumer Services,25,"Developer, full-stack",Canada,130115.0
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",6,"Developer, full-stack",Canada,127513.0
2023,10 to 19 employees,,9,"Developer, back-end",Canada,81787.0
2023,100 to 499 employees,Other,8,"Developer, full-stack",Canada,144985.0
2023,"10,000 or more employees",Other,20,"Developer, full-stack",Canada,
2023,20 to 99 employees,,10,Data or business analyst,Canada,297406.0
2023,"10,000 or more employees",Retail and Consumer Services,18,"Developer, full-stack",Canada,178443.0
2023,20 to 99 employees,Legal Services,11,"Developer, full-stack",Canada,104092.0
2023,,,,,Canada,
2023,,"Information Services, IT, Software Development, or other Technology",,"Developer, back-end",Canada,
2023,"10,000 or more employees",,10,"Developer, back-end",Canada,81787.0
2023,100 to 499 employees,Healthcare,5,Academic researcher,Canada,
2023,I don’t know,"Information Services, IT, Software Development, or other Technology",10,"Developer, back-end",Canada,
2023,20 to 99 employees,,1,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,"1,000 to 4,999 employees",,8,Engineering manager,Canada,
2023,20 to 99 employees,Healthcare,20,"Developer, desktop or enterprise applications",Canada,104092.0
2023,2 to 9 employees,,3,"Developer, full-stack",Canada,52046.0
2023,,,,,Canada,
2023,100 to 499 employees,,4,"Developer, back-end",Canada,81787.0
2023,"10,000 or more employees","Manufacturing, Transportation, or Supply Chain",12,DevOps specialist,Canada,66916.0
2023,,,,Cloud infrastructure engineer,Canada,
2023,,,,,Canada,
2023,500 to 999 employees,,10,"Developer, front-end",Canada,126397.0
2023,10 to 19 employees,,5,Cloud infrastructure engineer,Canada,85504.0
2023,500 to 999 employees,,14,"Developer, full-stack",Canada,122680.0
2023,10 to 19 employees,,5,"Developer, full-stack",Canada,33458.0
2023,"10,000 or more employees",,10,Security professional,Canada,56507.0
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",3,"Developer, full-stack",Canada,54277.0
2023,,Higher Education,,"Developer, full-stack",Canada,
2023,100 to 499 employees,,23,Research & Development role,Canada,141268.0
2023,"1,000 to 4,999 employees",,9,"Developer, back-end",Canada,133089.0
2023,2 to 9 employees,Retail and Consumer Services,7,"Developer, full-stack",Canada,81787.0
2023,"1,000 to 4,999 employees",Financial Services,24,"Developer, mobile",Canada,
2023,,,,"Developer, desktop or enterprise applications",Canada,
2023,"5,000 to 9,999 employees",Retail and Consumer Services,12,"Developer, full-stack",Canada,68403.0
2023,2 to 9 employees,,7,"Developer, game or graphics",Canada,
2023,,,,"Developer, embedded applications or devices",Canada,
2023,10 to 19 employees,,1,"Developer, full-stack",Canada,
2023,"1,000 to 4,999 employees","Manufacturing, Transportation, or Supply Chain",24,"Developer, full-stack",Canada,78069.0
2023,100 to 499 employees,,16,Scientist,Canada,55764.0
2023,100 to 499 employees,,17,System administrator,Canada,63942.0
2023,,,,,Canada,
2023,,,,"Developer, front-end",Canada,
2023,"1,000 to 4,999 employees",,10,"Developer, full-stack",Canada,111527.0
2023,"1,000 to 4,999 employees",,6,"Developer, back-end",Canada,122680.0
2023,100 to 499 employees,,15,"Developer, back-end",Canada,185879.0
2023,100 to 499 employees,,11,"Developer, full-stack",Canada,239412.0
2023,"1,000 to 4,999 employees",Financial Services,16,"Developer, full-stack",Canada,78069.0
2023,100 to 499 employees,Other,23,"Developer, back-end",Canada,111527.0
2023,,,,,Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",4,"Developer, full-stack",Canada,63199.0
2023,500 to 999 employees,Healthcare,6,"Engineer, data",Canada,96657.0
2023,100 to 499 employees,,1,"Developer, full-stack",Canada,
2023,I don’t know,,6,"Developer, desktop or enterprise applications",Canada,
2023,100 to 499 employees,,5,"Developer, full-stack",Canada,52046.0
2023,100 to 499 employees,Higher Education,42,Educator,Canada,74351.0
2023,20 to 99 employees,Other,4,"Developer, back-end",Canada,74351.0
2023,,,,Data or business analyst,Canada,
2023,,,,Other (please specify):,Canada,
2023,500 to 999 employees,,10,"Developer, full-stack",Canada,104092.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",1,"Developer, desktop or enterprise applications",Canada,56804.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",9,Data scientist or machine learning specialist,Canada,113014.0
2023,20 to 99 employees,,9,"Developer, full-stack",Canada,
2023,100 to 499 employees,,6,"Developer, full-stack",Canada,59481.0
2023,,,,System administrator,Canada,
2023,,,,,Canada,
2023,20 to 99 employees,,6,"Developer, full-stack",Canada,60968.0
2023,500 to 999 employees,Financial Services,16,Security professional,Canada,89222.0
2023,,,,Academic researcher,Canada,
2023,10 to 19 employees,Healthcare,1,"Developer, back-end",Canada,
2023,,,,,Canada,
2023,,"Information Services, IT, Software Development, or other Technology",18,Product manager,Canada,
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",4,Data scientist or machine learning specialist,Canada,111527.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5,"Engineer, data",Canada,92939.0
2023,20 to 99 employees,,9,"Developer, game or graphics",Canada,81787.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",21,"Developer, full-stack",Canada,
2023,,,,"Developer, front-end",Canada,
2023,10 to 19 employees,,15,"Developer, desktop or enterprise applications",Canada,68403.0
2023,,,,,Canada,
2023,"1,000 to 4,999 employees",Financial Services,17,"Engineer, data",Canada,148703.0
2023,100 to 499 employees,Other,5,Other (please specify):,Canada,4974.0
2023,20 to 99 employees,,5,Research & Development role,Canada,63199.0
2023,,,,"Developer, embedded applications or devices",Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",4,"Developer, full-stack",Canada,104092.0
2023,2 to 9 employees,,20,"Developer, full-stack",Canada,59481.0
2023,,,,,Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,35,"Developer, full-stack",Canada,74351.0
2023,100 to 499 employees,,2,Product manager,Canada,74351.0
2023,"1,000 to 4,999 employees",,Less than 1 year,"Developer, desktop or enterprise applications",Canada,52046.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",22,"Developer, mobile",Canada,74351.0
2023,20 to 99 employees,Other,3,Hardware Engineer,Canada,95000.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,11,"Developer, mobile",Canada,334581.0
2023,"10,000 or more employees",Higher Education,20,"Developer, full-stack",Canada,111527.0
2023,20 to 99 employees,,19,"Developer, full-stack",Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,2,"Developer, full-stack",Canada,
2023,100 to 499 employees,Other,3,"Developer, embedded applications or devices",Canada,74351.0
2023,,,,Student,Canada,
2023,20 to 99 employees,,7,"Developer, full-stack",Canada,111527.0
2023,,,,"Developer, full-stack",Canada,
2023,,,,Student,Canada,
2023,"10,000 or more employees",,15,"Developer, back-end",Canada,
2023,500 to 999 employees,,10,"Developer, front-end",Canada,104092.0
2023,,,,Security professional,Canada,
2023,20 to 99 employees,Other,2,"Developer, desktop or enterprise applications",Canada,44611.0
2023,"5,000 to 9,999 employees",,11,"Developer, full-stack",Canada,71377.0
2023,100 to 499 employees,,14,"Developer, back-end",Canada,107810.0
2023,,,,,Canada,
2023,,"Manufacturing, Transportation, or Supply Chain",20,Data or business analyst,Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,6,"Developer, back-end",Canada,111527.0
2023,"1,000 to 4,999 employees",,2,"Engineer, site reliability",Canada,171008.0
2023,I don’t know,,15,"Developer, mobile",Canada,
2023,20 to 99 employees,,6,"Developer, back-end",Canada,133833.0
2023,,,,Student,Canada,
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",Less than 1 year,"Developer, front-end",Canada,29741.0
2023,,,,,Canada,
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5,"Developer, back-end",Canada,63199.0
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",36,"Developer, back-end",Canada,96657.0
2023,"1,000 to 4,999 employees",,6,"Developer, full-stack",Canada,57994.0
2023,,,,"Developer, front-end",Canada,
2023,100 to 499 employees,,Less than 1 year,"Developer, mobile",Canada,66173.0
2023,,,,,Canada,
2023,"5,000 to 9,999 employees",,9,"Developer, front-end",Canada,149446.0
2023,"1,000 to 4,999 employees",Healthcare,26,"Developer, full-stack",Canada,118962.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",21,"Developer, full-stack",Canada,223054.0
2023,100 to 499 employees,,9,"Developer, back-end",Canada,111527.0
2023,,"Information Services, IT, Software Development, or other Technology",,Data scientist or machine learning specialist,Canada,
2023,"1,000 to 4,999 employees",Financial Services,15,"Developer, desktop or enterprise applications",Canada,87735.0
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",4,"Developer, back-end",Canada,100374.0
2023,,,,"Developer, full-stack",Canada,
2023,20 to 99 employees,Retail and Consumer Services,9,"Developer, front-end",Canada,133833.0
2023,2 to 9 employees,,11,"Developer, full-stack",Canada,
2023,500 to 999 employees,Other,20,Engineering manager,Canada,130115.0
2023,500 to 999 employees,"Manufacturing, Transportation, or Supply Chain",16,"Developer, back-end",Canada,
2023,,,,,Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,12,"Developer, full-stack",Canada,
2023,100 to 499 employees,Advertising Services,3,Data scientist or machine learning specialist,Canada,70634.0
2023,,,,,Canada,
2023,10 to 19 employees,Financial Services,5,Data scientist or machine learning specialist,Canada,63199.0
2023,2 to 9 employees,,1,"Developer, full-stack",Canada,
2023,100 to 499 employees,Oil & Gas,22,"Developer, back-end",Canada,126397.0
2023,20 to 99 employees,Oil & Gas,7,"Developer, embedded applications or devices",Canada,85504.0
2023,2 to 9 employees,,14,"Developer, full-stack",Canada,63199.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",15,"Developer, back-end",Canada,92939.0
2023,10 to 19 employees,,13,"Developer, full-stack",Canada,
2023,"1,000 to 4,999 employees",Financial Services,3,"Developer, back-end",Canada,64686.0
2023,"1,000 to 4,999 employees",Other,6,"Developer, front-end",Canada,71377.0
2023,20 to 99 employees,Healthcare,7,"Developer, full-stack",Canada,111527.0
2023,100 to 499 employees,,12,"Developer, front-end",Canada,171008.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",17,Engineering manager,Canada,137550.0
2023,,,,,Canada,
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",4,"Developer, back-end",Canada,111527.0
2023,100 to 499 employees,,12,"Developer, full-stack",Canada,74351.0
2023,,,,"Developer, full-stack",Canada,
2023,,,,,Canada,
2023,"10,000 or more employees",,30,"Developer, full-stack",Canada,89222.0
2023,500 to 999 employees,,8,"Developer, back-end",Canada,87735.0
2023,"1,000 to 4,999 employees",,16,"Developer, game or graphics",Canada,141268.0
2023,,,,,Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",12,Data scientist or machine learning specialist,Canada,107810.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",16,"Developer, full-stack",Canada,79556.0
2023,,,6,Project manager,Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",23,"Developer, back-end",Canada,133833.0
2023,100 to 499 employees,Healthcare,13,"Developer, desktop or enterprise applications",Canada,96657.0
2023,I don’t know,,3,"Developer, full-stack",Canada,
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",20,Other (please specify):,Canada,92939.0
2023,10 to 19 employees,Other,2,"Developer, embedded applications or devices",Canada,57251.0
2023,,"Information Services, IT, Software Development, or other Technology",,Security professional,Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",22,"Developer, full-stack",Canada,115245.0
2023,100 to 499 employees,,11,"Developer, desktop or enterprise applications",Canada,
2023,,"Information Services, IT, Software Development, or other Technology",,"Developer, back-end",Canada,
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",12,DevOps specialist,Canada,160599.0
2023,"10,000 or more employees",Financial Services,2,"Developer, full-stack",Canada,87289.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",1,"Developer, desktop or enterprise applications",Canada,96657.0
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",8,"Developer, full-stack",Canada,102605.0
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",7,Hardware Engineer,Canada,74351.0
2023,,,,Data scientist or machine learning specialist,Canada,
2023,20 to 99 employees,,1,Hardware Engineer,Canada,55764.0
2023,,,,Academic researcher,Canada,
2023,100 to 499 employees,,4,"Developer, back-end",Canada,
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",11,"Developer, full-stack",Canada,63199.0
2023,,,,Academic researcher,Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5,Other (please specify):,Canada,65429.0
2023,,,,,Canada,
2023,"10,000 or more employees",Other,7,"Developer, back-end",Canada,85504.0
2023,,,,,Canada,
2023,2 to 9 employees,,5,"Developer, full-stack",Canada,65429.0
2023,,,,,Canada,
2023,,,,,Canada,
2023,,,,,Canada,
2023,"10,000 or more employees",Financial Services,2,"Developer, full-stack",Canada,81787.0
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",4,"Developer, full-stack",Canada,59555.0
2023,,,,,Canada,
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",3,"Developer, back-end",Canada,78069.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,18,Research & Development role,Canada,
2023,,Higher Education,,"Developer, full-stack",Canada,
2023,,,,Student,Canada,
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10,"Developer, full-stack",Canada,81787.0
2023,100 to 499 employees,,10,"Developer, back-end",Canada,89222.0
2023,100 to 499 employees,,10,"Developer, full-stack",Canada,115245.0
2023,20 to 99 employees,,3,"Developer, back-end",Canada,59481.0
2023,,,,"Developer, full-stack",Canada,
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",3,Hardware Engineer,Canada,104092.0
2023,"5,000 to 9,999 employees",,9,"Developer, desktop or enterprise applications",Canada,153907.0
2023,,,,,Canada,
2023,"10,000 or more employees",Financial Services,27,Other (please specify):,Canada,
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",1,"Developer, full-stack",Canada,60000.0
2023,10 to 19 employees,,4,"Developer, desktop or enterprise applications",Canada,107066.0
2023,,,,Data or business analyst,Canada,
2023,,,,Other (please specify):,Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",Financial Services,6,Data or business analyst,Canada,96657.0
2023,10 to 19 employees,"Manufacturing, Transportation, or Supply Chain",1,"Developer, full-stack",Canada,57251.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5,"Developer, desktop or enterprise applications",Canada,185879.0
2023,,,,Student,Canada,
2023,,,,,Canada,
2023,"1,000 to 4,999 employees",Healthcare,2,"Engineer, data",Canada,54277.0
2023,,,,"Developer, full-stack",Canada,
2023,"10,000 or more employees",Financial Services,5,"Developer, full-stack",Canada,104092.0
2023,,,,,Canada,
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",2,"Developer, full-stack",Canada,
2023,"5,000 to 9,999 employees",,4,"Developer, game or graphics",Canada,193314.0
2023,100 to 499 employees,,3,"Developer, back-end",Canada,68403.0
2023,500 to 999 employees,Other,16,"Developer, full-stack",Canada,96657.0
